metric	contrast	positive_mean	negative_mean	auroc	macro_problem_auroc	macro_auroc_ci_low	macro_auroc_ci_high	n_positive	n_negative
euclidean	correct_correct_vs_correct_wrong	0.1823061529311041	0.2168903474956751	0.7312698333333333	0.8110833333333333	0.797166666666667	0.8245833333333333	3000	2000
euclidean	correct_correct_vs_correct_shuffled	0.1823061529311041	0.16298810012079776	0.40653041666666667	0.4185000000000006	0.4094166666666672	0.42758333333333337	3000	2000
phf_cosine	correct_correct_vs_correct_wrong	0.023654306854781072	0.03136667652754113	0.71152075	0.800583333333333	0.78525	0.8146666666666662	3000	2000
phf_cosine	correct_correct_vs_correct_shuffled	0.023654306854781072	0.0200259128784528	0.40545858333333334	0.4095000000000002	0.40025000000000044	0.41941666666666644	3000	2000
sinkhorn	correct_correct_vs_correct_wrong	0.029174899409680318	0.03512169042788446	0.6362475833333333	0.6927499999999992	0.6770833333333333	0.7083333333333334	3000	2000
sinkhorn	correct_correct_vs_correct_shuffled	0.029174899409680318	0.024381371473427862	0.39540725	0.3934999999999998	0.3839166666666665	0.4034166666666666	3000	2000
fgw	correct_correct_vs_correct_wrong	0.022714178152537595	0.025802682251203805	0.6196241666666666	0.6852499999999996	0.6709166666666659	0.7009166666666671	3000	2000
fgw	correct_correct_vs_correct_shuffled	0.022714178152537595	0.020053062807768585	0.4016389166666667	0.39241666666666664	0.3832499999999999	0.40183333333333354	3000	2000
uot_objective	correct_correct_vs_correct_wrong	0.23838332383831343	0.2428413225710392	0.64569	0.7004999999999996	0.6862500000000001	0.715916666666667	3000	2000
uot_objective	correct_correct_vs_correct_shuffled	0.23838332383831343	0.23496648110449314	0.3958339166666667	0.39416666666666644	0.3840000000000002	0.4039999999999996	3000	2000
uot_transport_cost_raw	correct_correct_vs_correct_wrong	0.031489536247681825	0.0382054377947934	0.6516226666666667	0.7129999999999992	0.6985833333333337	0.7279999999999996	3000	2000
uot_transport_cost_raw	correct_correct_vs_correct_shuffled	0.031489536247681825	0.026670619497424924	0.39832391666666667	0.39883333333333315	0.3895833333333333	0.4086666666666668	3000	2000
uot_transport_cost_normalized	correct_correct_vs_correct_wrong	0.027425735085892182	0.03342542798630893	0.6516614166666667	0.7124999999999992	0.697750000000001	0.7277500000000002	3000	2000
uot_transport_cost_normalized	correct_correct_vs_correct_shuffled	0.027425735085892182	0.023157737523782997	0.39817183333333334	0.39858333333333307	0.3888333333333334	0.4080000000000002	3000	2000
uot_mass	correct_correct_vs_correct_wrong	1.1536833262443542	1.1473510626554488	0.6456824166666667	0.7004999999999996	0.6860833333333335	0.7152499999999994	3000	2000
uot_mass	correct_correct_vs_correct_shuffled	1.1536833262443542	1.1585369701385497	0.3958335	0.39416666666666644	0.3842500000000001	0.4034166666666663	3000	2000
