metric	contrast	positive_mean	negative_mean	auroc	macro_problem_auroc	macro_auroc_ci_low	macro_auroc_ci_high	n_positive	n_negative
euclidean	correct_correct_vs_correct_wrong	1.3898970064322154	1.4012612037658692	0.5400975833333334	0.5395833333333333	0.5227500000000005	0.5557499999999996	3000	2000
euclidean	correct_correct_vs_correct_shuffled	1.3898970064322154	1.3971245108395816	0.5129069166666667	0.5123749999999996	0.49616666666666664	0.5279999999999998	3000	2000
phf_cosine	correct_correct_vs_correct_wrong	0.9925422465403875	0.9993549297451974	0.5259536666666667	0.5236666666666663	0.5073333333333333	0.5404166666666667	3000	2000
phf_cosine	correct_correct_vs_correct_shuffled	0.9925422465403875	0.9987502846941352	0.5380661666666666	0.5393749999999996	0.5232916666666666	0.5547916666666667	3000	2000
sinkhorn	correct_correct_vs_correct_wrong	0.6359267508387566	0.6687703147083521	0.6283548333333333	0.6438333333333338	0.6283333333333331	0.6595	3000	2000
sinkhorn	correct_correct_vs_correct_shuffled	0.6359267508387566	0.6081881977692246	0.38940966666666665	0.3788333333333336	0.3671666666666664	0.39100000000000007	3000	2000
fgw	correct_correct_vs_correct_wrong	0.38189947354793546	0.4020194049179554	0.636195	0.6494999999999999	0.6339166666666662	0.665166666666667	3000	2000
fgw	correct_correct_vs_correct_shuffled	0.38189947354793546	0.3679888514578342	0.4015045	0.3960000000000002	0.3839999999999998	0.40841666666666687	3000	2000
uot_objective	correct_correct_vs_correct_wrong	0.5418051879604657	0.5566039296090602	0.6189109166666666	0.631916666666667	0.617166666666666	0.647833333333333	3000	2000
uot_objective	correct_correct_vs_correct_shuffled	0.5418051879604657	0.5288253879994154	0.39119766666666667	0.3784166666666666	0.36641666666666667	0.3907500000000002	3000	2000
uot_transport_cost_raw	correct_correct_vs_correct_wrong	0.4026780235469341	0.4241607635319233	0.6638671666666667	0.6753333333333337	0.6614166666666665	0.690083333333333	3000	2000
uot_transport_cost_raw	correct_correct_vs_correct_shuffled	0.4026780235469341	0.3899983506351709	0.3999088333333333	0.3925833333333335	0.3818333333333331	0.4037499999999999	3000	2000
uot_transport_cost_normalized	correct_correct_vs_correct_wrong	0.5631290962944429	0.6077333448529243	0.6445531666666666	0.65675	0.6407499999999995	0.6720833333333328	3000	2000
uot_transport_cost_normalized	correct_correct_vs_correct_shuffled	0.5631290962944429	0.5321820470802486	0.39585783333333335	0.38691666666666696	0.3758333333333336	0.3981666666666671	3000	2000
uot_mass	correct_correct_vs_correct_wrong	0.7225776907404263	0.7015563278496265	0.61889375	0.6319166666666671	0.6160000000000005	0.6470000000000001	3000	2000
uot_mass	correct_correct_vs_correct_shuffled	0.7225776907404263	0.741021466344595	0.39117075	0.3784166666666667	0.3667499999999994	0.3899999999999998	3000	2000
