layer	kind	metric	mean	n
17	causal:alpha=0.25	base_logp	-1.6503233569860458	50
17	causal:alpha=0.25	correct_gain	0.036163023710250854	50
17	causal:alpha=0.25	correct_logp	-1.614160333275795	50
17	causal:alpha=0.25	counterfactual_rationale_gain	0.027525327205657958	50
17	causal:alpha=0.25	counterfactual_rationale_logp	-1.622798029780388	50
17	causal:alpha=0.25	dependency_swap_gain	0.027979373931884766	50
17	causal:alpha=0.25	dependency_swap_logp	-1.622343983054161	50
17	causal:alpha=0.25	locally_corrupted_gain	0.027086565494537352	50
17	causal:alpha=0.25	locally_corrupted_logp	-1.6232367914915085	50
17	causal:alpha=0.25	random_gain	0.0033275485038757324	50
17	causal:alpha=0.25	random_logp	-1.64699580848217	50
17	causal:alpha=0.5	base_logp	-1.6503233569860458	50
17	causal:alpha=0.5	correct_gain	0.08030344307422638	50
17	causal:alpha=0.5	correct_logp	-1.5700199139118194	50
17	causal:alpha=0.5	counterfactual_rationale_gain	0.06073799610137939	50
17	causal:alpha=0.5	counterfactual_rationale_logp	-1.5895853608846664	50
17	causal:alpha=0.5	dependency_swap_gain	0.06188993752002716	50
17	causal:alpha=0.5	dependency_swap_logp	-1.5884334194660186	50
17	causal:alpha=0.5	locally_corrupted_gain	0.059786654114723205	50
17	causal:alpha=0.5	locally_corrupted_logp	-1.5905367028713226	50
17	causal:alpha=0.5	random_gain	0.012325624823570252	50
17	causal:alpha=0.5	random_logp	-1.6379977321624757	50
17	causal:alpha=1	base_logp	-1.6503233569860458	50
17	causal:alpha=1	correct_gain	0.22134720623493195	50
17	causal:alpha=1	correct_logp	-1.4289761507511138	50
17	causal:alpha=1	counterfactual_rationale_gain	0.18556500613689422	50
17	causal:alpha=1	counterfactual_rationale_logp	-1.4647583508491515	50
17	causal:alpha=1	dependency_swap_gain	0.1878613066673279	50
17	causal:alpha=1	dependency_swap_logp	-1.462462050318718	50
17	causal:alpha=1	locally_corrupted_gain	0.18419963955879212	50
17	causal:alpha=1	locally_corrupted_logp	-1.4661237174272537	50
17	causal:alpha=1	random_gain	0.05088999569416046	50
17	causal:alpha=1	random_logp	-1.5994333612918854	50
17	h:counterfactual_rationale	correct_correct_cosine	0.6984046472112339	50
17	h:counterfactual_rationale	correct_delta_norm	15.59478229522705	50
17	h:counterfactual_rationale	correct_wrong_cosine	0.6883055603504181	50
17	h:counterfactual_rationale	cosine_margin	0.010099086860815685	50
17	h:counterfactual_rationale	mean_delta_effective_rank	32.82006656646728	50
17	h:counterfactual_rationale	mean_delta_rank90	57.52	50
17	h:counterfactual_rationale	wrong_delta_norm	22.08912914276123	50
17	h:dependency_swap	correct_correct_cosine	0.6984046472112339	50
17	h:dependency_swap	correct_delta_norm	15.59478229522705	50
17	h:dependency_swap	correct_wrong_cosine	0.6882827065885067	50
17	h:dependency_swap	cosine_margin	0.010121940622727078	50
17	h:dependency_swap	mean_delta_effective_rank	32.82006656646728	50
17	h:dependency_swap	mean_delta_rank90	57.52	50
17	h:dependency_swap	wrong_delta_norm	21.65706123352051	50
